policy,lambda,replica,seed,duration,warmup,mu0,mu1,mu2,X,E_R,E_TQ,E_N,U0,U1,U2,n_arrived,n_after_warmup,n_completed,drop_prob
proportional,2.4,7,1007,5000.0,500.0,1.5,1.0,0.5,2.4273333333333333,5.427032387554829,4.430792551699926,13.1742315033882,0.8148401137450472,0.7939822181836107,0.8080231927316263,12145,10930,10930,0.0
proportional,2.4,8,1008,5000.0,500.0,1.5,1.0,0.5,2.426222222222222,6.009032330554285,4.989994646981181,14.55850593521249,0.8197400427333054,0.8513758646088484,0.7998179593627961,12137,10918,10918,0.0
proportional,2.4,9,1009,5000.0,500.0,1.5,1.0,0.5,2.3695555555555554,4.83272930163847,3.8390804567185897,11.454409685130846,0.7819798250626515,0.7956611901686557,0.778590026024395,11801,10667,10667,0.0
proportional,2.4,10,1010,5000.0,500.0,1.5,1.0,0.5,2.393111111111111,4.6672624175208375,3.676078256239756,11.171475376235533,0.8033531595432931,0.7948248103459723,0.7741822213479642,11970,10776,10776,0.0
proportional,2.7,1,1001,5000.0,500.0,1.5,1.0,0.5,2.6575555555555557,7.325598250875465,6.329722103565376,19.4826865630919,0.8810925153802478,0.9076349650708686,0.8583705138432656,13271,11970,11970,0.0
proportional,2.7,2,1002,5000.0,500.0,1.5,1.0,0.5,2.6775555555555557,8.230716634909877,7.237293558676245,21.963613489766274,0.874375528704734,0.8927363293354373,0.8852825158365807,13387,12065,12065,0.0
proportional,2.7,3,1003,5000.0,500.0,1.5,1.0,0.5,2.708,10.828850865140392,9.827308227793957,29.33046575800129,0.885854409295443,0.9315771169173452,0.8954023866967683,13535,12190,12190,0.0
proportional,2.7,4,1004,5000.0,500.0,1.5,1.0,0.5,2.6706666666666665,7.888101872763428,6.893882306594669,21.106688000004464,0.903059240028353,0.8670176573296602,0.8884414617495741,13280,12010,12010,0.0
proportional,2.7,5,1005,5000.0,500.0,1.5,1.0,0.5,2.687333333333333,7.234932925884128,6.246894724683877,19.442037031153514,0.9031720533610119,0.8818831361828092,0.8704173196867179,13487,12103,12103,0.0
proportional,2.7,6,1006,5000.0,500.0,1.5,1.0,0.5,2.716,9.742485523407767,8.748549473796137,26.42878905239114,0.9184763259776878,0.9067435732370726,0.8725269610070777,13579,12234,12234,0.0
proportional,2.7,7,1007,5000.0,500.0,1.5,1.0,0.5,2.7284444444444444,9.914048612155028,8.919112608212483,27.05694712776832,0.9099908226159773,0.8988896487339805,0.9051403089841411,13640,12282,12282,0.0
proportional,2.7,8,1008,5000.0,500.0,1.5,1.0,0.5,2.724666666666667,12.861062985010076,11.84457199679034,34.9924485765172,0.9149046708035029,0.9432743069165359,0.9107889025737361,13636,12271,12271,0.0
proportional,2.7,9,1009,5000.0,500.0,1.5,1.0,0.5,2.6542222222222223,8.441527176716201,7.450475200284564,22.381802873212944,0.8758681041156842,0.8894501398106102,0.8607627571158823,13244,11952,11952,0.0
proportional,2.7,10,1010,5000.0,500.0,1.5,1.0,0.5,2.702,8.828643840183423,7.833751364358399,23.857879145243132,0.9059601204169889,0.9032947610970563,0.8789167485662294,13483,12146,12146,0.0
